chapter,verse,arabic_original,arabic_clean,arabic_normalized,tokens
1,1,بِسۡمِ ٱللَّهِ ٱلرَّحۡمَٰنِ ٱلرَّحِيمِ,بسم الله الرحمن الرحيم,بسم الله الرحمن الرحيم,بسم الله الرحمن الرحيم
1,2,ٱلۡحَمۡدُ لِلَّهِ رَبِّ ٱلۡعَٰلَمِينَ,الحمد لله رب العلمين,الحمد لله رب العلمين,الحمد لله رب العلمين
1,3,ٱلرَّحۡمَٰنِ ٱلرَّحِيمِ,الرحمن الرحيم,الرحمن الرحيم,الرحمن الرحيم
1,4,مَٰلِكِ يَوۡمِ ٱلدِّينِ,ملك يوم الدين,ملك يوم الدين,ملك يوم الدين
1,5,إِيَّاكَ نَعۡبُدُ وَإِيَّاكَ نَسۡتَعِينُ,اياك نعبد واياك نستعين,اياك نعبد واياك نستعين,اياك نعبد واياك نستعين
1,6,ٱهۡدِنَا ٱلصِّرَٰطَ ٱلۡمُسۡتَقِيمَ,اهدنا الصرط المستقيم,اهدنا الصرط المستقيم,اهدنا الصرط المستقيم
1,7,صِرَٰطَ ٱلَّذِينَ أَنۡعَمۡتَ عَلَيۡهِمۡ غَيۡرِ ٱلۡمَغۡضُوبِ عَلَيۡهِمۡ وَلَا ٱلضَّآلِّينَ,صرط الذين انعمت عليهم غير المغضوب عليهم ولا الضالين,صرط الذين انعمت عليهم غير المغضوب عليهم ولا الضالين,صرط الذين انعمت عليهم غير المغضوب عليهم ولا الضالين
2,1,الٓمٓ,الم,الم,الم
2,2,ذَٰلِكَ ٱلۡكِتَٰبُ لَا رَيۡبَۛ فِيهِۛ هُدٗى لِّلۡمُتَّقِينَ,ذلك الكتب لا ريب فيه هدي للمتقين,ذلك الكتب لا ريب فيه هدي للمتقين,ذلك الكتب لا ريب فيه هدي للمتقين
2,3,ٱلَّذِينَ يُؤۡمِنُونَ بِٱلۡغَيۡبِ وَيُقِيمُونَ ٱلصَّلَوٰةَ وَمِمَّا رَزَقۡنَٰهُمۡ يُنفِقُونَ,الذين يومنون بالغيب ويقيمون الصلوة ومما رزقنهم ينفقون,الذين يومنون بالغيب ويقيمون الصلوة ومما رزقنهم ينفقون,الذين يومنون بالغيب ويقيمون الصلوة ومما رزقنهم ينفقون
2,4,وَٱلَّذِينَ يُؤۡمِنُونَ بِمَآ أُنزِلَ إِلَيۡكَ وَمَآ أُنزِلَ مِن قَبۡلِكَ وَبِٱلۡأٓخِرَةِ هُمۡ يُوقِنُونَ,والذين يومنون بما انزل اليك وما انزل من قبلك وبالاخرة هم يوقنون,والذين يومنون بما انزل اليك وما انزل من قبلك وبالاخرة هم يوقنون,والذين يومنون بما انزل اليك وما انزل من قبلك وبالاخرة هم يوقنون
2,5,أُوْلَـٰٓئِكَ عَلَىٰ هُدٗى مِّن رَّبِّهِمۡۖ وَأُوْلَـٰٓئِكَ هُمُ ٱلۡمُفۡلِحُونَ,اوليك علي هدي من ربهم واوليك هم المفلحون,اوليك علي هدي من ربهم واوليك هم المفلحون,اوليك علي هدي من ربهم واوليك هم المفلحون
2,6,إِنَّ ٱلَّذِينَ كَفَرُواْ سَوَآءٌ عَلَيۡهِمۡ ءَأَنذَرۡتَهُمۡ أَمۡ لَمۡ تُنذِرۡهُمۡ لَا يُؤۡمِنُونَ,ان الذين كفروا سواء عليهم ءانذرتهم ام لم تنذرهم لا يومنون,ان الذين كفروا سواء عليهم ءانذرتهم ام لم تنذرهم لا يومنون,ان الذين كفروا سواء عليهم ءانذرتهم ام لم تنذرهم لا يومنون
2,7,خَتَمَ ٱللَّهُ عَلَىٰ قُلُوبِهِمۡ وَعَلَىٰ سَمۡعِهِمۡۖ وَعَلَىٰٓ أَبۡصَٰرِهِمۡ غِشَٰوَةٞۖ وَلَهُمۡ عَذَابٌ عَظِيمٞ,ختم الله علي قلوبهم وعلي سمعهم وعلي ابصرهم غشوة ولهم عذاب عظيم,ختم الله علي قلوبهم وعلي سمعهم وعلي ابصرهم غشوة ولهم عذاب عظيم,ختم الله علي قلوبهم وعلي سمعهم وعلي ابصرهم غشوة ولهم عذاب عظيم
2,8,وَمِنَ ٱلنَّاسِ مَن يَقُولُ ءَامَنَّا بِٱللَّهِ وَبِٱلۡيَوۡمِ ٱلۡأٓخِرِ وَمَا هُم بِمُؤۡمِنِينَ,ومن الناس من يقول ءامنا بالله وباليوم الاخر وما هم بمومنين,ومن الناس من يقول ءامنا بالله وباليوم الاخر وما هم بمومنين,ومن الناس من يقول ءامنا بالله وباليوم الاخر وما هم بمومنين
2,9,يُخَٰدِعُونَ ٱللَّهَ وَٱلَّذِينَ ءَامَنُواْ وَمَا يَخۡدَعُونَ إِلَّآ أَنفُسَهُمۡ وَمَا يَشۡعُرُونَ,يخدعون الله والذين ءامنوا وما يخدعون الا انفسهم وما يشعرون,يخدعون الله والذين ءامنوا وما يخدعون الا انفسهم وما يشعرون,يخدعون الله والذين ءامنوا وما يخدعون الا انفسهم وما يشعرون
2,10,فِي قُلُوبِهِم مَّرَضٞ فَزَادَهُمُ ٱللَّهُ مَرَضٗاۖ وَلَهُمۡ عَذَابٌ أَلِيمُۢ بِمَا كَانُواْ يَكۡذِبُونَ,في قلوبهم مرض فزادهم الله مرضا ولهم عذاب اليم بما كانوا يكذبون,في قلوبهم مرض فزادهم الله مرضا ولهم عذاب اليم بما كانوا يكذبون,في قلوبهم مرض فزادهم الله مرضا ولهم عذاب اليم بما كانوا يكذبون
2,11,وَإِذَا قِيلَ لَهُمۡ لَا تُفۡسِدُواْ فِي ٱلۡأَرۡضِ قَالُوٓاْ إِنَّمَا نَحۡنُ مُصۡلِحُونَ,واذا قيل لهم لا تفسدوا في الارض قالوا انما نحن مصلحون,واذا قيل لهم لا تفسدوا في الارض قالوا انما نحن مصلحون,واذا قيل لهم لا تفسدوا في الارض قالوا انما نحن مصلحون
2,12,أَلَآ إِنَّهُمۡ هُمُ ٱلۡمُفۡسِدُونَ وَلَٰكِن لَّا يَشۡعُرُونَ,الا انهم هم المفسدون ولكن لا يشعرون,الا انهم هم المفسدون ولكن لا يشعرون,الا انهم هم المفسدون ولكن لا يشعرون
